# 월별 생산량 데이터
# 년도  1월    2월     3월    4월    5월    6월     7월    8월    9월    10월    11월   12월     
2010	 9,853 	 4,722 	 9,144 	 4,198 	 4,453 	 6,422 	 4,362 	 1,727 	 8,278 	 8,304 	 3,144 	 5,452 
2011	 1,245 	 6,175 	 5,620 	 3,940 	 5,406 	 6,772 	 4,806 	 7,934 	 5,136 	 217 	 1,285 	 618 
2012	 6,003 	 9,608 	 4,775 	 3,134 	 1,669 	 5,805 	 7,967 	 2,377 	 5,577 	 7,627 	 6,951 	 7,914 
2013	 1,533 	 2,073 	 7,931 	 9,906 	 7,719 	 5,028 	 4,367 	 480 	 1,752 	 1,271 	 6,266 	 8,922 
2014	 8,713 	 9,509 	 8,807 	 2,064 	 6,817 	 938 	 9,738 	 8,203 	 418 	 8,305 	 597 	 711 
2015	 8,366 	 9,272 	 8,193 	 2,264 	 8,701 	 4,881 	 6,407 	 3,588 	 4,462 	 9,823 	 4,435 	 2,051 
2016	 3,236 	 5,953 	 3,597 	 4,034 	 7,866 	 1,178 	 1,317 	 3,544 	 4,384 	 6,880 	 9,014 	 8,342 
2017	 3,952 	 3,613 	 4,336 	 4,951 	 9,791 	 6,641 	 4,541 	 9,760 	 7,541 	 7,779 	 2,408 	 3,219 
2018	 5,855 	 6,262 	 1,894 	 7,926 	 9,014 	 9,863 	 5,854 	 3,651 	 5,903 	 7,633 	 308 	 7,656 
2019	 9,309 	 4,983 	 9,147 	 7,987 	 5,754 	 3,175 	 8,230 	 6,604 	 2,202 	 9,303 	 2,091 	 5,518 
2020	 7,310 	 6,706 	 6,173 	 7,745 	 7,147 	 2,665 	 6,309 	 8,104 	 296 	 3,879 	 1,578 	 1,275 
