# 년도  1월    2월     3월    4월    5월    6월     7월    8월    9월    10월    11월   12월
2010	 9,853 	 4,722 	 9,144 	 4,198 	 4,453 	 6,422 	 4,362 	 1,727 	 8,278 	 8,304 	 3,144 	 5,452	70059	5838.25
2011	 1,245 	 6,175 	 5,620 	 3,940 	 5,406 	 6,772 	 4,806 	 7,934 	 5,136 	 217 	 1,285 	 618	49154	4096.17
2012	 6,003 	 9,608 	 4,775 	 3,134 	 1,669 	 5,805 	 7,967 	 2,377 	 5,577 	 7,627 	 6,951 	 7,914	69407	5783.92
2013	 1,533 	 2,073 	 7,931 	 9,906 	 7,719 	 5,028 	 4,367 	 480 	 1,752 	 1,271 	 6,266 	 8,922	57248	4770.67
2014	 8,713 	 9,509 	 8,807 	 2,064 	 6,817 	 938 	 9,738 	 8,203 	 418 	 8,305 	 597 	 711	64820	5401.67
2015	 8,366 	 9,272 	 8,193 	 2,264 	 8,701 	 4,881 	 6,407 	 3,588 	 4,462 	 9,823 	 4,435 	 2,051	72443	6036.92
2016	 3,236 	 5,953 	 3,597 	 4,034 	 7,866 	 1,178 	 1,317 	 3,544 	 4,384 	 6,880 	 9,014 	 8,342	59345	4945.42
2017	 3,952 	 3,613 	 4,336 	 4,951 	 9,791 	 6,641 	 4,541 	 9,760 	 7,541 	 7,779 	 2,408 	 3,219	68532	5711.0
2018	 5,855 	 6,262 	 1,894 	 7,926 	 9,014 	 9,863 	 5,854 	 3,651 	 5,903 	 7,633 	 308 	 7,656	71819	5984.92
2019	 9,309 	 4,983 	 9,147 	 7,987 	 5,754 	 3,175 	 8,230 	 6,604 	 2,202 	 9,303 	 2,091 	 5,518	74303	6191.92
2020	 7,310 	 6,706 	 6,173 	 7,745 	 7,147 	 2,665 	 6,309 	 8,104 	 296 	 3,879 	 1,578 	 1,275	59187	4932.25
sum		 65375	68876	69617	58149	74337	53368	63898	55972	45949	71021	38077	51678	716317	59693.08	
avg	 5943.18	6261.45	6328.82	5286.27	6757.91	4851.64	5808.91	5088.36	4177.18	6456.45	3461.55	4698.0	65119.73	
